archivo;alpha;valor;tiempo
MDG-a_6_n500_m50;0.85;7656.5700;1.1200
MDG-a_6_n500_m50;0.9;7694.2700;1.1370
MDG-a_6_n500_m50;0.95;7598.7700;1.2337
MDG-a_6_n500_m50;1.0;7640.9100;1.1090
MDG-a_9_n500_m50;0.0;7707.6800;1.0343
MDG-a_9_n500_m50;0.05;7680.4000;1.0263
MDG-a_9_n500_m50;0.1;7664.0500;1.0602
MDG-a_9_n500_m50;0.15;7676.2100;1.0283
MDG-a_9_n500_m50;0.2;7719.8400;1.0043
MDG-a_9_n500_m50;0.25;7620.6600;1.0332
MDG-a_9_n500_m50;0.3;7647.0000;1.1210
MDG-a_9_n500_m50;0.35;7652.3000;1.1011
MDG-a_9_n500_m50;0.4;7660.2800;1.0721
MDG-a_9_n500_m50;0.45;7577.2600;1.1619
MDG-a_9_n500_m50;0.5;7673.9400;1.0412
MDG-a_9_n500_m50;0.55;7740.9100;1.0452
MDG-a_9_n500_m50;0.6;7682.2900;1.1709
MDG-a_9_n500_m50;0.65;7670.2700;1.1749
MDG-a_9_n500_m50;0.7;7643.4400;1.0831
MDG-a_9_n500_m50;0.75;7639.1300;1.1479
MDG-a_9_n500_m50;0.8;7582.1700;1.1998
MDG-a_9_n500_m50;0.85;7677.3300;1.0303
MDG-a_9_n500_m50;0.9;7641.1300;1.1439
MDG-a_9_n500_m50;0.95;7664.7700;1.1330
MDG-a_9_n500_m50;1.0;7607.3900;1.0003
